<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SBER;W;18/05/15;000000;74.3500000;526112780
SBER;W;25/05/15;000000;73.5000000;471615940
SBER;W;01/06/15;000000;70.6100000;482889190
SBER;W;08/06/15;000000;72.5500000;416562980
SBER;W;15/06/15;000000;71.5600000;480409860
SBER;W;22/06/15;000000;70.6000000;327206360
SBER;W;29/06/15;000000;70.6700000;420312980
SBER;W;06/07/15;000000;71.0600000;580410090
SBER;W;13/07/15;000000;75.5200000;566652460
SBER;W;20/07/15;000000;70.4500000;523054780
SBER;W;27/07/15;000000;72.3000000;775199000
SBER;W;03/08/15;000000;74.2000000;537162570
SBER;W;10/08/15;000000;74.4300000;446886820
SBER;W;17/08/15;000000;69.8600000;513248150
SBER;W;24/08/15;000000;74.8200000;834022450
SBER;W;31/08/15;000000;73.9600000;611596770
SBER;W;07/09/15;000000;74.1000000;384126700
SBER;W;14/09/15;000000;75.5000000;461570990
SBER;W;21/09/15;000000;74.9700000;461626740
SBER;W;28/09/15;000000;73.8000000;446594780
SBER;W;05/10/15;000000;85.7700000;822124430
SBER;W;12/10/15;000000;88.5200000;642128480
SBER;W;19/10/15;000000;90.4500000;554185250
SBER;W;26/10/15;000000;90.5300000;620522910
SBER;W;02/11/15;000000;94.0900000;480617350
SBER;W;09/11/15;000000;93.4000000;385830190
SBER;W;16/11/15;000000;107.3000000;709850790
SBER;W;23/11/15;000000;104.5500000;620581500
SBER;W;30/11/15;000000;103.0500000;479327260
SBER;W;07/12/15;000000;98.1500000;549268990
SBER;W;14/12/15;000000;98.8100000;488522780
SBER;W;21/12/15;000000;101.3400000;300611380
SBER;W;28/12/15;000000;101.2600000;148445580
SBER;W;04/01/16;000000;96.8500000;140869540
SBER;W;11/01/16;000000;87.2700000;484100530
SBER;W;18/01/16;000000;91.5000000;698938670
SBER;W;25/01/16;000000;96.5000000;731535630
SBER;W;01/02/16;000000;97.2000000;533051980
SBER;W;08/02/16;000000;94.8500000;532962040
SBER;W;15/02/16;000000;102.3500000;612696040
SBER;W;22/02/16;000000;106.2400000;409095620
SBER;W;29/02/16;000000;108.9900000;468321370
SBER;W;07/03/16;000000;109.2600000;303479870
SBER;W;14/03/16;000000;112.4000000;495681900
SBER;W;21/03/16;000000;109.1000000;453237770
SBER;W;28/03/16;000000;108.5200000;428070040
SBER;W;04/04/16;000000;112.9200000;435894840
SBER;W;11/04/16;000000;119.3000000;533374640
SBER;W;18/04/16;000000;121.2500000;618111130
SBER;W;25/04/16;000000;123.5500000;434476560
SBER;W;02/05/16;000000;120.6400000;211073370
SBER;W;09/05/16;000000;121.0700000;297121250
SBER;W;16/05/16;000000;121.9000000;307663890
SBER;W;23/05/16;000000;133.2000000;439541560
SBER;W;30/05/16;000000;131.5900000;327014540
SBER;W;06/06/16;000000;133.5000000;359134560
SBER;W;13/06/16;000000;128.7000000;323294770
SBER;W;20/06/16;000000;133.4000000;307369650
SBER;W;27/06/16;000000;133.8500000;427156380
SBER;W;04/07/16;000000;134.4100000;305373370
SBER;W;11/07/16;000000;138.1200000;333860240
SBER;W;18/07/16;000000;137.8000000;229513310
SBER;W;25/07/16;000000;139.1500000;290061610
SBER;W;01/08/16;000000;138.6900000;237101950
SBER;W;08/08/16;000000;139.4500000;214589270
SBER;W;15/08/16;000000;135.8000000;252351310
SBER;W;22/08/16;000000;145.2500000;303813520
SBER;W;29/08/16;000000;146.8800000;237062940
SBER;W;05/09/16;000000;151.6000000;313257430
SBER;W;12/09/16;000000;147.0000000;225727160
SBER;W;19/09/16;000000;151.5000000;235040590
SBER;W;26/09/16;000000;145.3400000;246661610
SBER;W;03/10/16;000000;148.7400000;214455720
SBER;W;10/10/16;000000;146.7300000;209077940
SBER;W;17/10/16;000000;148.4200000;164740270
SBER;W;24/10/16;000000;149.2000000;160586680
SBER;W;31/10/16;000000;142.7500000;172187910
SBER;W;07/11/16;000000;151.5100000;341581930
SBER;W;14/11/16;000000;150.0500000;198473790
SBER;W;21/11/16;000000;160.3600000;282678710
SBER;W;28/11/16;000000;159.4000000;242130300
SBER;W;05/12/16;000000;169.6600000;323092190
SBER;W;12/12/16;000000;173.9000000;357510770
SBER;W;19/12/16;000000;171.1500000;262498230
SBER;W;26/12/16;000000;173.2500000;162937460
SBER;W;02/01/17;000000;170.6900000;165642640
SBER;W;09/01/17;000000;164.9000000;282483080
SBER;W;16/01/17;000000;167.4900000;196936880
SBER;W;23/01/17;000000;178.9200000;251441100
SBER;W;30/01/17;000000;173.8000000;200169000
SBER;W;06/02/17;000000;165.5000000;208619900
SBER;W;13/02/17;000000;165.4900000;253093680
SBER;W;20/02/17;000000;165.5100000;136801570
SBER;W;27/02/17;000000;164.4000000;275260490
SBER;W;06/03/17;000000;157.5000000;196469590
SBER;W;13/03/17;000000;161.1500000;275668680
SBER;W;20/03/17;000000;164.5200000;193488810
SBER;W;27/03/17;000000;159.8000000;147789700
SBER;W;03/04/17;000000;161.4900000;197673310
SBER;W;10/04/17;000000;149.2400000;274969070
SBER;W;17/04/17;000000;159.5900000;269265760
SBER;W;24/04/17;000000;165.2000000;222061890
SBER;W;01/05/17;000000;165.8000000;148906380
SBER;W;08/05/17;000000;167.7000000;140098240
SBER;W;15/05/17;000000;168.8700000;213280550
SBER;W;22/05/17;000000;160.7000000;196196330
SBER;W;29/05/17;000000;157.1400000;241583390
SBER;W;05/06/17;000000;150.1300000;240047840
SBER;W;12/06/17;000000;141.6300000;373952220
SBER;W;19/06/17;000000;144.1000000;258756020
SBER;W;26/06/17;000000;145.5900000;258959810
SBER;W;03/07/17;000000;152.1600000;234976030
SBER;W;10/07/17;000000;161.4000000;306503520
SBER;W;17/07/17;000000;162.1000000;209829810
SBER;W;24/07/17;000000;165.4000000;248420620
SBER;W;31/07/17;000000;169.7300000;249775640
SBER;W;07/08/17;000000;172.0500000;225336000
SBER;W;14/08/17;000000;169.5000000;181219610
