<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ROSN;W;04/01/16;000000;252.4000000;6873390
ROSN;W;11/01/16;000000;232.1000000;27795270
ROSN;W;18/01/16;000000;250.4000000;30248270
ROSN;W;25/01/16;000000;272.4500000;36411070
ROSN;W;01/02/16;000000;281.5500000;26779340
ROSN;W;08/02/16;000000;270.7000000;28377130
ROSN;W;15/02/16;000000;276.9500000;21408360
ROSN;W;22/02/16;000000;283.3000000;17272050
ROSN;W;29/02/16;000000;302.2500000;26421230
ROSN;W;07/03/16;000000;301.6000000;23935140
ROSN;W;14/03/16;000000;315.5500000;32998820
ROSN;W;21/03/16;000000;304.5000000;24937240
ROSN;W;28/03/16;000000;301.8000000;26420230
ROSN;W;04/04/16;000000;316.5000000;23320430
ROSN;W;11/04/16;000000;309.7500000;30588050
ROSN;W;18/04/16;000000;322.1000000;38690860
ROSN;W;25/04/16;000000;351.0000000;32720500
ROSN;W;02/05/16;000000;329.0000000;17646180
ROSN;W;09/05/16;000000;322.6500000;17010300
ROSN;W;16/05/16;000000;324.6500000;20960110
ROSN;W;23/05/16;000000;320.6000000;22435750
ROSN;W;30/05/16;000000;314.7500000;16865640
ROSN;W;06/06/16;000000;337.8500000;25547620
ROSN;W;13/06/16;000000;320.6500000;20191010
ROSN;W;20/06/16;000000;333.6500000;26607830
ROSN;W;27/06/16;000000;332.4500000;20048090
ROSN;W;04/07/16;000000;325.0000000;16349090
ROSN;W;11/07/16;000000;335.0000000;15586060
ROSN;W;18/07/16;000000;334.3000000;11119440
ROSN;W;25/07/16;000000;325.5000000;11940740
ROSN;W;01/08/16;000000;329.9000000;12439180
ROSN;W;08/08/16;000000;330.8500000;9576010
ROSN;W;15/08/16;000000;349.0500000;19133360
ROSN;W;22/08/16;000000;350.5500000;10974220
ROSN;W;29/08/16;000000;349.9000000;13204820
ROSN;W;05/09/16;000000;362.4000000;16571570
ROSN;W;12/09/16;000000;360.8500000;19722100
ROSN;W;19/09/16;000000;356.0500000;14431330
