<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
URKA;W;07/04/14;000000;166.1300000;14297680
URKA;W;14/04/14;000000;160.6700000;10309660
URKA;W;21/04/14;000000;150.7000000;14874300
URKA;W;28/04/14;000000;158.9400000;9108810
URKA;W;05/05/14;000000;156.3000000;9603250
URKA;W;12/05/14;000000;163.5000000;14643710
URKA;W;19/05/14;000000;163.3200000;14507080
URKA;W;26/05/14;000000;155.0600000;10362300
URKA;W;02/06/14;000000;156.9900000;10649850
URKA;W;09/06/14;000000;155.2800000;13024370
URKA;W;16/06/14;000000;151.6000000;25999360
URKA;W;23/06/14;000000;157.1000000;24261680
URKA;W;30/06/14;000000;158.2500000;16931360
URKA;W;07/07/14;000000;154.0000000;12139930
URKA;W;14/07/14;000000;145.9400000;12718590
URKA;W;21/07/14;000000;144.0000000;15026810
URKA;W;28/07/14;000000;135.3700000;13956170
URKA;W;04/08/14;000000;138.3600000;10314660
URKA;W;11/08/14;000000;142.6300000;9936060
URKA;W;18/08/14;000000;143.5100000;8250940
URKA;W;25/08/14;000000;133.5700000;11617700
URKA;W;01/09/14;000000;141.7900000;17707720
URKA;W;08/09/14;000000;139.5200000;8725340
URKA;W;15/09/14;000000;145.9100000;26273570
URKA;W;22/09/14;000000;140.0000000;16201420
URKA;W;29/09/14;000000;140.5000000;14801430
URKA;W;06/10/14;000000;138.0000000;15265020
URKA;W;13/10/14;000000;139.0000000;12202080
URKA;W;20/10/14;000000;137.5000000;10222790
URKA;W;27/10/14;000000;154.0000000;20673660
URKA;W;03/11/14;000000;164.1000000;18920800
URKA;W;10/11/14;000000;174.2000000;22171580
URKA;W;17/11/14;000000;129.5500000;99336450
URKA;W;24/11/14;000000;132.8000000;36758950
URKA;W;01/12/14;000000;134.0000000;20934160
URKA;W;08/12/14;000000;116.7000000;24384040
URKA;W;15/12/14;000000;136.3000000;36389070
URKA;W;22/12/14;000000;133.2500000;10564830
URKA;W;29/12/14;000000;128.4000000;4723790
URKA;W;05/01/15;000000;135.7500000;8481330
URKA;W;12/01/15;000000;136.0000000;11048240
URKA;W;19/01/15;000000;156.0000000;20804230
URKA;W;26/01/15;000000;174.7000000;40493520
URKA;W;02/02/15;000000;173.0500000;22236570
URKA;W;09/02/15;000000;185.7000000;17928940
URKA;W;16/02/15;000000;177.8000000;14844870
URKA;W;23/02/15;000000;169.7500000;9624110
URKA;W;02/03/15;000000;180.5500000;18402460
URKA;W;09/03/15;000000;161.2000000;13568140
URKA;W;16/03/15;000000;158.0000000;13473440
URKA;W;23/03/15;000000;146.0500000;8780040
URKA;W;30/03/15;000000;161.7000000;9504550
URKA;W;06/04/15;000000;162.0000000;10226890
URKA;W;13/04/15;000000;154.5000000;14668220
URKA;W;20/04/15;000000;154.5000000;18809350
URKA;W;27/04/15;000000;151.0500000;8547680
URKA;W;04/05/15;000000;154.1500000;8331510
URKA;W;11/05/15;000000;156.9000000;8473570
URKA;W;18/05/15;000000;155.4000000;12906520
URKA;W;25/05/15;000000;140.4000000;49164470
URKA;W;01/06/15;000000;150.6000000;34680350
URKA;W;08/06/15;000000;150.3000000;9855280
URKA;W;15/06/15;000000;149.4000000;13040410
URKA;W;22/06/15;000000;144.3500000;19723430
URKA;W;29/06/15;000000;146.0500000;9096280
URKA;W;06/07/15;000000;145.8500000;11867470
URKA;W;13/07/15;000000;153.6000000;9006330
URKA;W;20/07/15;000000;146.5500000;7621940
URKA;W;27/07/15;000000;162.3000000;9862420
URKA;W;03/08/15;000000;180.4500000;21664900
URKA;W;10/08/15;000000;190.7500000;17669530
URKA;W;17/08/15;000000;197.2500000;15753760
URKA;W;24/08/15;000000;201.7000000;33945520
URKA;W;31/08/15;000000;204.9000000;10691870
URKA;W;07/09/15;000000;207.4500000;6708820
URKA;W;14/09/15;000000;200.7000000;9768530
URKA;W;21/09/15;000000;185.0500000;14218590
URKA;W;28/09/15;000000;182.7500000;17199750
URKA;W;05/10/15;000000;186.1000000;11685490
URKA;W;12/10/15;000000;175.3500000;10402640
URKA;W;19/10/15;000000;156.1500000;65242620
URKA;W;26/10/15;000000;155.0000000;14813450
URKA;W;02/11/15;000000;156.3500000;9169940
URKA;W;09/11/15;000000;164.5000000;12334040
URKA;W;16/11/15;000000;169.0000000;16953590
URKA;W;23/11/15;000000;175.7000000;20888980
URKA;W;30/11/15;000000;177.5000000;11928460
URKA;W;07/12/15;000000;181.9500000;9117950
URKA;W;14/12/15;000000;184.0500000;11497620
URKA;W;21/12/15;000000;178.9500000;5671080
URKA;W;28/12/15;000000;177.0000000;1865930
URKA;W;04/01/16;000000;178.0000000;2243330
URKA;W;11/01/16;000000;178.3500000;7304400
URKA;W;18/01/16;000000;173.7500000;7382600
URKA;W;25/01/16;000000;172.5500000;4417160
URKA;W;01/02/16;000000;170.9000000;3181750
URKA;W;08/02/16;000000;163.9500000;4123960
URKA;W;15/02/16;000000;160.4500000;6324110
URKA;W;22/02/16;000000;161.8500000;7717960
URKA;W;29/02/16;000000;162.3000000;7542910
URKA;W;07/03/16;000000;168.8500000;5872000
URKA;W;14/03/16;000000;159.2000000;8828270
URKA;W;21/03/16;000000;165.4500000;7772120
URKA;W;28/03/16;000000;163.9500000;17313580
URKA;W;04/04/16;000000;164.3500000;4317570
URKA;W;11/04/16;000000;163.7000000;4425240
URKA;W;18/04/16;000000;164.7000000;4319110
URKA;W;25/04/16;000000;163.4000000;3363460
URKA;W;02/05/16;000000;164.3000000;3626470
URKA;W;09/05/16;000000;163.7500000;2831520
URKA;W;16/05/16;000000;169.0000000;8632150
URKA;W;23/05/16;000000;171.0500000;7138530
URKA;W;30/05/16;000000;173.4500000;4803780
URKA;W;06/06/16;000000;175.4000000;4564520
URKA;W;13/06/16;000000;190.0000000;14857570
URKA;W;20/06/16;000000;180.0000000;4098330
URKA;W;27/06/16;000000;177.0000000;3098300
URKA;W;04/07/16;000000;182.0000000;3495950
URKA;W;11/07/16;000000;180.6500000;2854800
URKA;W;18/07/16;000000;181.2000000;1536000
URKA;W;25/07/16;000000;186.1000000;5374460
URKA;W;01/08/16;000000;184.8500000;2605470
URKA;W;08/08/16;000000;187.8500000;3473830
URKA;W;15/08/16;000000;190.1500000;4426220
URKA;W;22/08/16;000000;191.4000000;3271130
URKA;W;29/08/16;000000;194.0000000;3294650
URKA;W;05/09/16;000000;190.0000000;6380430
URKA;W;12/09/16;000000;184.0000000;20181460
URKA;W;19/09/16;000000;181.0500000;4473180
URKA;W;26/09/16;000000;178.2000000;2206890
URKA;W;03/10/16;000000;174.3500000;2462360
URKA;W;10/10/16;000000;166.0000000;4130710
URKA;W;17/10/16;000000;165.6000000;2335250
URKA;W;24/10/16;000000;166.0000000;1586500
URKA;W;31/10/16;000000;166.2000000;1467870
URKA;W;07/11/16;000000;167.4000000;3258390
URKA;W;14/11/16;000000;167.0000000;1374380
URKA;W;21/11/16;000000;167.4000000;1003040
URKA;W;28/11/16;000000;167.2000000;2169810
URKA;W;05/12/16;000000;167.8500000;2315600
URKA;W;12/12/16;000000;168.6000000;6638580
URKA;W;19/12/16;000000;166.2500000;1862870
URKA;W;26/12/16;000000;165.2000000;739200
URKA;W;02/01/17;000000;165.0000000;456810
URKA;W;09/01/17;000000;165.2500000;958230
URKA;W;16/01/17;000000;169.7500000;2287810
URKA;W;23/01/17;000000;170.0000000;1728790
URKA;W;30/01/17;000000;168.2500000;999190
URKA;W;06/02/17;000000;169.0000000;1224930
URKA;W;13/02/17;000000;167.1000000;930230
URKA;W;20/02/17;000000;166.3000000;1965210
URKA;W;27/02/17;000000;167.0000000;2265220
URKA;W;06/03/17;000000;167.1500000;1055870
URKA;W;13/03/17;000000;168.7500000;1164920
URKA;W;20/03/17;000000;167.0000000;864990
URKA;W;27/03/17;000000;163.1000000;3641380
URKA;W;03/04/17;000000;160.9500000;1209260
URKA;W;10/04/17;000000;160.0500000;1378090
URKA;W;17/04/17;000000;151.8000000;818990
URKA;W;24/04/17;000000;149.9000000;1293010
URKA;W;01/05/17;000000;156.9500000;1315520
URKA;W;08/05/17;000000;148.5500000;1414120
URKA;W;15/05/17;000000;141.5500000;1571580
URKA;W;22/05/17;000000;139.6500000;1023740
URKA;W;29/05/17;000000;129.5500000;1907080
URKA;W;05/06/17;000000;130.0000000;1408690
URKA;W;12/06/17;000000;127.3000000;1836620
URKA;W;19/06/17;000000;128.3000000;1497480
URKA;W;26/06/17;000000;124.4500000;1105840
URKA;W;03/07/17;000000;125.0000000;778570
URKA;W;10/07/17;000000;132.2000000;1435150
URKA;W;17/07/17;000000;131.4500000;888270
URKA;W;24/07/17;000000;129.9500000;876860
URKA;W;31/07/17;000000;131.3000000;666940
URKA;W;07/08/17;000000;131.5000000;541600
URKA;W;14/08/17;000000;138.6000000;1292050
URKA;W;21/08/17;000000;144.9000000;2125500
URKA;W;28/08/17;000000;138.4500000;1506030
URKA;W;04/09/17;000000;137.7000000;1191180
URKA;W;11/09/17;000000;145.0000000;2380990
