<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SNGS;W;02/03/15;000000;35.0850000;132692400
SNGS;W;09/03/15;000000;33.9850000;92883400
SNGS;W;16/03/15;000000;35.2250000;135087200
SNGS;W;23/03/15;000000;35.1000000;119235700
SNGS;W;30/03/15;000000;36.6900000;138804800
SNGS;W;06/04/15;000000;35.9900000;92684000
SNGS;W;13/04/15;000000;37.5000000;139004800
SNGS;W;20/04/15;000000;36.8000000;119967400
SNGS;W;27/04/15;000000;38.4000000;74122500
SNGS;W;04/05/15;000000;36.4500000;86754300
SNGS;W;11/05/15;000000;35.9400000;109823500
SNGS;W;18/05/15;000000;34.6000000;91712100
SNGS;W;25/05/15;000000;31.0000000;93361400
SNGS;W;01/06/15;000000;31.9000000;98202000
SNGS;W;08/06/15;000000;31.7000000;71200700
SNGS;W;15/06/15;000000;33.8850000;123227100
SNGS;W;22/06/15;000000;33.5000000;76544800
SNGS;W;29/06/15;000000;32.6700000;81474000
SNGS;W;06/07/15;000000;30.8800000;96242900
SNGS;W;13/07/15;000000;32.6600000;142966200
SNGS;W;20/07/15;000000;31.0500000;88100900
SNGS;W;27/07/15;000000;33.9950000;146067000
SNGS;W;03/08/15;000000;33.9050000;100982600
SNGS;W;10/08/15;000000;35.3000000;119264200
SNGS;W;17/08/15;000000;33.0600000;139546500
SNGS;W;24/08/15;000000;34.8250000;173941600
SNGS;W;31/08/15;000000;34.1000000;116817500
SNGS;W;07/09/15;000000;35.2400000;79122500
SNGS;W;14/09/15;000000;34.2000000;100450300
SNGS;W;21/09/15;000000;33.6750000;98780400
SNGS;W;28/09/15;000000;33.3000000;76636600
SNGS;W;05/10/15;000000;36.1050000;110302100
SNGS;W;12/10/15;000000;35.4800000;87410100
SNGS;W;19/10/15;000000;36.0300000;71181100
SNGS;W;26/10/15;000000;35.7850000;83928300
SNGS;W;02/11/15;000000;35.5750000;57882000
SNGS;W;09/11/15;000000;34.9150000;76295900
SNGS;W;16/11/15;000000;34.9050000;122417100
SNGS;W;23/11/15;000000;34.7500000;112927100
SNGS;W;30/11/15;000000;34.1550000;131233400
SNGS;W;07/12/15;000000;34.0300000;100050300
SNGS;W;14/12/15;000000;34.2500000;89761400
SNGS;W;21/12/15;000000;33.9150000;52422800
SNGS;W;28/12/15;000000;33.9750000;35435800
SNGS;W;04/01/16;000000;34.0050000;28280700
SNGS;W;11/01/16;000000;32.4650000;119192200
SNGS;W;18/01/16;000000;35.2000000;154414900
