<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
HYDR;W;29/10/12;000000;0.7630000;2454951000
HYDR;W;05/11/12;000000;0.7361000;2475004000
HYDR;W;12/11/12;000000;0.7234000;1807374000
HYDR;W;19/11/12;000000;0.7685000;3668465000
HYDR;W;26/11/12;000000;0.7355000;2048377000
HYDR;W;03/12/12;000000;0.7355000;1854158000
HYDR;W;10/12/12;000000;0.7460000;4619251000
HYDR;W;17/12/12;000000;0.7425000;3286878000
HYDR;W;24/12/12;000000;0.7335000;1801654000
HYDR;W;07/01/13;000000;0.7478000;2022337000
HYDR;W;14/01/13;000000;0.7880000;4725824000
HYDR;W;21/01/13;000000;0.7830000;1984377000
HYDR;W;28/01/13;000000;0.7500000;4883317000
HYDR;W;04/02/13;000000;0.7190000;3100339000
HYDR;W;11/02/13;000000;0.7137000;3063796000
HYDR;W;18/02/13;000000;0.6972000;2380662000
HYDR;W;25/02/13;000000;0.6802000;1735439000
HYDR;W;04/03/13;000000;0.6850000;1466741000
HYDR;W;11/03/13;000000;0.6605000;2177384000
HYDR;W;18/03/13;000000;0.6275000;3932059000
HYDR;W;25/03/13;000000;0.6136000;4013900000
HYDR;W;01/04/13;000000;0.5520000;2799261000
HYDR;W;08/04/13;000000;0.5002000;4689113000
HYDR;W;15/04/13;000000;0.4537000;6394179000
HYDR;W;22/04/13;000000;0.5139000;10126520000
HYDR;W;29/04/13;000000;0.5767000;4707729000
HYDR;W;06/05/13;000000;0.5407000;3745227000
HYDR;W;13/05/13;000000;0.5326000;4919386000
HYDR;W;20/05/13;000000;0.5259000;4497887000
HYDR;W;27/05/13;000000;0.4698000;3652658000
HYDR;W;03/06/13;000000;0.4830000;5545805000
HYDR;W;10/06/13;000000;0.4840000;4246342000
HYDR;W;17/06/13;000000;0.4940000;3728274000
HYDR;W;24/06/13;000000;0.5049000;2942071000
HYDR;W;01/07/13;000000;0.5237000;3206314000
HYDR;W;08/07/13;000000;0.5495000;3020392000
HYDR;W;15/07/13;000000;0.5743000;4290286000
HYDR;W;22/07/13;000000;0.5578000;3877912000
HYDR;W;29/07/13;000000;0.5775000;3884095000
HYDR;W;05/08/13;000000;0.5691000;1666344000
HYDR;W;12/08/13;000000;0.5655000;4024526000
HYDR;W;19/08/13;000000;0.5696000;2294489000
HYDR;W;26/08/13;000000;0.5405000;3347228000
HYDR;W;02/09/13;000000;0.5432000;3902899000
HYDR;W;09/09/13;000000;0.5374000;5864260000
HYDR;W;16/09/13;000000;0.5628000;3634560000
HYDR;W;23/09/13;000000;0.5500000;2478644000
HYDR;W;30/09/13;000000;0.5328000;3426601000
HYDR;W;07/10/13;000000;0.5520000;3129126000
HYDR;W;14/10/13;000000;0.5630000;3124682000
HYDR;W;21/10/13;000000;0.5423000;4015313000
HYDR;W;28/10/13;000000;0.5588000;2352280000
HYDR;W;04/11/13;000000;0.5543000;1812664000
HYDR;W;11/11/13;000000;0.5601000;2273919000
HYDR;W;18/11/13;000000;0.5778000;1723472000
HYDR;W;25/11/13;000000;0.5710000;3160829000
HYDR;W;02/12/13;000000;0.5615000;3503185000
HYDR;W;09/12/13;000000;0.5580000;2540484000
HYDR;W;16/12/13;000000;0.5885000;3667945000
HYDR;W;23/12/13;000000;0.5696000;2200233000
HYDR;W;30/12/13;000000;0.5675000;347892000
HYDR;W;06/01/14;000000;0.5657000;1250199000
HYDR;W;13/01/14;000000;0.5645000;1894461000
HYDR;W;20/01/14;000000;0.5600000;1639508000
HYDR;W;27/01/14;000000;0.5540000;3540790000
HYDR;W;03/02/14;000000;0.5647000;2015133000
HYDR;W;10/02/14;000000;0.5624000;1309486000
HYDR;W;17/02/14;000000;0.5600000;1581918000
HYDR;W;24/02/14;000000;0.5595000;2065192000
HYDR;W;03/03/14;000000;0.5262000;3937662000
HYDR;W;10/03/14;000000;0.5076000;2795302000
HYDR;W;17/03/14;000000;0.5432000;4814267000
HYDR;W;24/03/14;000000;0.5680000;2451889000
HYDR;W;31/03/14;000000;0.5629000;2343894000
HYDR;W;07/04/14;000000;0.5673000;2256509000
HYDR;W;14/04/14;000000;0.5495000;1794344000
HYDR;W;21/04/14;000000;0.5304000;1708285000
HYDR;W;28/04/14;000000;0.5731000;1675908000
HYDR;W;05/05/14;000000;0.5700000;2680801000
HYDR;W;12/05/14;000000;0.5936000;2737693000
HYDR;W;19/05/14;000000;0.6835000;6009657000
HYDR;W;26/05/14;000000;0.6861000;3732245000
HYDR;W;02/06/14;000000;0.7434000;3409111000
HYDR;W;09/06/14;000000;0.7400000;2395797000
HYDR;W;16/06/14;000000;0.7080000;3904287000
HYDR;W;23/06/14;000000;0.6802000;3354639000
HYDR;W;30/06/14;000000;0.6930000;2983241000
HYDR;W;07/07/14;000000;0.6941000;4177931000
HYDR;W;14/07/14;000000;0.6345000;2663169000
HYDR;W;21/07/14;000000;0.6076000;2566999000
HYDR;W;28/07/14;000000;0.5999000;2460720000
HYDR;W;04/08/14;000000;0.6415000;1908222000
HYDR;W;11/08/14;000000;0.6850000;2597748000
HYDR;W;18/08/14;000000;0.7030000;2102077000
HYDR;W;25/08/14;000000;0.6933000;1785041000
HYDR;W;01/09/14;000000;0.7175000;1703181000
HYDR;W;08/09/14;000000;0.7070000;1214286000
HYDR;W;15/09/14;000000;0.7300000;2812809000
HYDR;W;22/09/14;000000;0.7248000;2169700000
HYDR;W;29/09/14;000000;0.6793000;1705149000
HYDR;W;06/10/14;000000;0.6940000;1486069000
HYDR;W;13/10/14;000000;0.6999000;1877975000
HYDR;W;20/10/14;000000;0.6765000;1409609000
HYDR;W;27/10/14;000000;0.6930000;1960855000
HYDR;W;03/11/14;000000;0.6780000;1451780000
HYDR;W;10/11/14;000000;0.6885000;1662705000
HYDR;W;17/11/14;000000;0.6750000;1601305000
HYDR;W;24/11/14;000000;0.6000000;2671582000
HYDR;W;01/12/14;000000;0.5790000;3484984000
HYDR;W;08/12/14;000000;0.4750000;3366152000
HYDR;W;15/12/14;000000;0.5600000;6346378000
HYDR;W;22/12/14;000000;0.5370000;2062869000
HYDR;W;29/12/14;000000;0.5415000;701190000
HYDR;W;05/01/15;000000;0.5498000;1108318000
HYDR;W;12/01/15;000000;0.5460000;1589987000
HYDR;W;19/01/15;000000;0.5609000;2475197000
HYDR;W;26/01/15;000000;0.5251000;2428773000
HYDR;W;02/02/15;000000;0.5292000;2509658000
HYDR;W;09/02/15;000000;0.6100000;4434260000
HYDR;W;16/02/15;000000;0.6285000;5049674000
HYDR;W;23/02/15;000000;0.6448000;3684545000
HYDR;W;02/03/15;000000;0.6236000;2568022000
HYDR;W;09/03/15;000000;0.5669000;2708480000
HYDR;W;16/03/15;000000;0.5491000;2891001000
HYDR;W;23/03/15;000000;0.5050000;2848573000
HYDR;W;30/03/15;000000;0.5568000;2981647000
HYDR;W;06/04/15;000000;0.5421000;2593433000
HYDR;W;13/04/15;000000;0.5720000;3535526000
HYDR;W;20/04/15;000000;0.5875000;2319416000
HYDR;W;27/04/15;000000;0.5985000;2158367000
HYDR;W;04/05/15;000000;0.6132000;2352555000
HYDR;W;11/05/15;000000;0.6137000;1760189000
HYDR;W;18/05/15;000000;0.5800000;1516911000
HYDR;W;25/05/15;000000;0.5873000;2257098000
HYDR;W;01/06/15;000000;0.5885000;2088742000
HYDR;W;08/06/15;000000;0.5805000;898892000
HYDR;W;15/06/15;000000;0.5798000;1288834000
HYDR;W;22/06/15;000000;0.5405000;2294553000
HYDR;W;29/06/15;000000;0.5418000;1403950000
HYDR;W;06/07/15;000000;0.5200000;1419220000
HYDR;W;13/07/15;000000;0.5359000;2363249000
HYDR;W;20/07/15;000000;0.5154000;1409432000
HYDR;W;27/07/15;000000;0.5349000;1683722000
HYDR;W;03/08/15;000000;0.5374000;1531583000
HYDR;W;10/08/15;000000;0.5360000;1544464000
HYDR;W;17/08/15;000000;0.5206000;1506750000
HYDR;W;24/08/15;000000;0.5328000;2462805000
HYDR;W;31/08/15;000000;0.5506000;1410493000
HYDR;W;07/09/15;000000;0.5655000;1703037000
HYDR;W;14/09/15;000000;0.6150000;2257570000
HYDR;W;21/09/15;000000;0.6224000;3161817000
HYDR;W;28/09/15;000000;0.5824000;1975392000
HYDR;W;05/10/15;000000;0.6178000;1803321000
HYDR;W;12/10/15;000000;0.6410000;2761529000
HYDR;W;19/10/15;000000;0.6710000;3707279000
HYDR;W;26/10/15;000000;0.6510000;1623532000
HYDR;W;02/11/15;000000;0.6430000;1377176000
HYDR;W;09/11/15;000000;0.5655000;3821159000
